Entity_0:  -> created,  at 0
Entity_6:replaced -> PositionComponent, fields[ x - 56.26806 y - 36.17359 ] at 234.3847
Entity_7:replaced -> PositionComponent, fields[ x - 54.50629 y - -14.22491 ] at 234.3847
Entity_8:replaced -> PositionComponent, fields[ x - 58.1451 y - 35.10654 ] at 234.3847
Entity_9:replaced -> PositionComponent, fields[ x - 58.48085 y - 14.55006 ] at 234.3847
Entity_2:replaced -> PositionComponent, fields[ x - 48.47946 y - -12.77165 ] at 265.638
Entity_3:replaced -> PositionComponent, fields[ x - 57.55498 y - 37.17181 ] at 265.638
Entity_4:replaced -> PositionComponent, fields[ x - 51.3311 y - 3.774094 ] at 265.638
Entity_5:replaced -> PositionComponent, fields[ x - 58.86992 y - 14.18685 ] at 265.638
Entity_6:replaced -> PositionComponent, fields[ x - 55.73492 y - 36.17359 ] at 265.638
Entity_7:replaced -> PositionComponent, fields[ x - 53.59067 y - -14.22491 ] at 265.638
Entity_8:replaced -> PositionComponent, fields[ x - 57.77412 y - 35.10654 ] at 265.638
Entity_9:replaced -> PositionComponent, fields[ x - 58.10106 y - 14.55006 ] at 265.638
Entity_2:replaced -> PositionComponent, fields[ x - 47.51942 y - -12.77165 ] at 281.2689
Entity_3:replaced -> PositionComponent, fields[ x - 57.3327 y - 37.17181 ] at 281.2689
Entity_4:replaced -> PositionComponent, fields[ x - 50.46421 y - 3.774094 ] at 281.2689
Entity_5:replaced -> PositionComponent, fields[ x - 58.74435 y - 14.18685 ] at 281.2689
Entity_6:replaced -> PositionComponent, fields[ x - 55.20179 y - 36.17359 ] at 281.2689
Entity_7:replaced -> PositionComponent, fields[ x - 52.67505 y - -14.22491 ] at 281.2689
Entity_8:replaced -> PositionComponent, fields[ x - 57.40314 y - 35.10654 ] at 281.2689
Entity_9:replaced -> PositionComponent, fields[ x - 57.72128 y - 14.55006 ] at 281.2689
Entity_2:replaced -> PositionComponent, fields[ x - 46.55937 y - -12.77165 ] at 312.5153
Entity_3:replaced -> PositionComponent, fields[ x - 57.11043 y - 37.17181 ] at 312.5153
Entity_4:replaced -> PositionComponent, fields[ x - 49.59732 y - 3.774094 ] at 312.5153
Entity_5:replaced -> PositionComponent, fields[ x - 58.61879 y - 14.18685 ] at 312.5153
Entity_6:replaced -> PositionComponent, fields[ x - 54.66866 y - 36.17359 ] at 312.5153
Entity_7:replaced -> PositionComponent, fields[ x - 51.75943 y - -14.22491 ] at 312.5153
Entity_8:replaced -> PositionComponent, fields[ x - 57.03217 y - 35.10654 ] at 312.5153
Entity_9:replaced -> PositionComponent, fields[ x - 57.34149 y - 14.55006 ] at 312.5153
Entity_2:replaced -> PositionComponent, fields[ x - 45.59933 y - -12.77165 ] at 328.1414
Entity_3:replaced -> PositionComponent, fields[ x - 56.88815 y - 37.17181 ] at 328.1414
Entity_4:replaced -> PositionComponent, fields[ x - 48.73043 y - 3.774094 ] at 328.1414
Entity_5:replaced -> PositionComponent, fields[ x - 58.49323 y - 14.18685 ] at 328.1414
Entity_6:replaced -> PositionComponent, fields[ x - 54.13552 y - 36.17359 ] at 328.1414
Entity_7:replaced -> PositionComponent, fields[ x - 50.84381 y - -14.22491 ] at 328.1414
Entity_8:replaced -> PositionComponent, fields[ x - 56.66119 y - 35.10654 ] at 328.1414
Entity_9:replaced -> PositionComponent, fields[ x - 56.9617 y - 14.55006 ] at 328.1414
