Entity_0:  -> created,  at 0
Entity_19:replaced -> PositionComponent, fields[ x - 25.5 y - -17 ] at 5224.157
Entity_13:replaced -> PositionComponent, fields[ x - 10.2826 y - -34.31194 ] at 5239.7802
Entity_3:replaced -> PositionComponent, fields[ x - -8.460878 y - 37.17181 ] at 5239.7802
Entity_21:replaced -> PositionComponent, fields[ x - 43.42163 y - -31.59732 ] at 5239.7802
Entity_5:replaced -> PositionComponent, fields[ x - 21.5774 y - 14.18685 ] at 5239.7802
Entity_20:replaced -> PositionComponent, fields[ x - 4.892326 y - 25.48944 ] at 5239.7802
Entity_22:replaced -> PositionComponent, fields[ x - 52.27264 y - -7.800556 ] at 5239.7802
Entity_8:replaced -> PositionComponent, fields[ x - -52.40704 y - 35.10654 ] at 5239.7802
Entity_17:replaced -> PositionComponent, fields[ x - -14.99904 y - -39.60216 ] at 5239.7802
Entity_18:replaced -> PositionComponent, fields[ x - 34 y - -1 ] at 5239.7802
Entity_19:replaced -> PositionComponent, fields[ x - 26 y - -17 ] at 5239.7802
Entity_13:replaced -> PositionComponent, fields[ x - 10.06163 y - -34.31194 ] at 5271.0467
Entity_3:replaced -> PositionComponent, fields[ x - -8.683154 y - 37.17181 ] at 5271.0467
Entity_21:replaced -> PositionComponent, fields[ x - 43.07625 y - -31.59732 ] at 5271.0467
Entity_5:replaced -> PositionComponent, fields[ x - 21.45184 y - 14.18685 ] at 5271.0467
Entity_20:replaced -> PositionComponent, fields[ x - 4.185818 y - 25.48944 ] at 5271.0467
Entity_22:replaced -> PositionComponent, fields[ x - 52.07946 y - -7.800556 ] at 5271.0467
Entity_8:replaced -> PositionComponent, fields[ x - -52.77802 y - 35.10654 ] at 5271.0467
Entity_17:replaced -> PositionComponent, fields[ x - -15.49573 y - -39.60216 ] at 5271.0467
Entity_18:replaced -> PositionComponent, fields[ x - 34.5 y - -1 ] at 5271.0467
Entity_19:replaced -> PositionComponent, fields[ x - 26.5 y - -17 ] at 5271.0467
Entity_13:replaced -> PositionComponent, fields[ x - 9.840668 y - -34.31194 ] at 5271.0467
Entity_3:replaced -> PositionComponent, fields[ x - -8.90543 y - 37.17181 ] at 5271.0467
Entity_21:replaced -> PositionComponent, fields[ x - 42.73087 y - -31.59732 ] at 5271.0467
Entity_5:replaced -> PositionComponent, fields[ x - 21.32627 y - 14.18685 ] at 5271.0467
Entity_20:replaced -> PositionComponent, fields[ x - 3.479309 y - 25.48944 ] at 5271.0467
Entity_22:replaced -> PositionComponent, fields[ x - 51.88628 y - -7.800556 ] at 5271.0467
Entity_8:replaced -> PositionComponent, fields[ x - -53.149 y - 35.10654 ] at 5271.0467
Entity_17:replaced -> PositionComponent, fields[ x - -15.99241 y - -39.60216 ] at 5271.0467
Entity_18:replaced -> PositionComponent, fields[ x - 35 y - -1 ] at 5271.0467
Entity_19:replaced -> PositionComponent, fields[ x - 27 y - -17 ] at 5271.0467
Entity_13:replaced -> PositionComponent, fields[ x - 9.619702 y - -34.31194 ] at 5302.2982
Entity_3:replaced -> PositionComponent, fields[ x - -9.127706 y - 37.17181 ] at 5302.2982
Entity_21:replaced -> PositionComponent, fields[ x - 42.38548 y - -31.59732 ] at 5302.2982
Entity_5:replaced -> PositionComponent, fields[ x - 21.20071 y - 14.18685 ] at 5302.2982
Entity_20:replaced -> PositionComponent, fields[ x - 2.7728 y - 25.48944 ] at 5302.2982
Entity_22:replaced -> PositionComponent, fields[ x - 51.69309 y - -7.800556 ] at 5302.2982
Entity_8:replaced -> PositionComponent, fields[ x - -53.51998 y - 35.10654 ] at 5302.2982
Entity_17:replaced -> PositionComponent, fields[ x - -16.48909 y - -39.60216 ] at 5302.2982
Entity_18:replaced -> PositionComponent, fields[ x - 35.5 y - -1 ] at 5302.2982
Entity_19:replaced -> PositionComponent, fields[ x - 27.5 y - -17 ] at 5302.2982
Entity_13:replaced -> PositionComponent, fields[ x - 9.398737 y - -34.31194 ] at 5317.9137
Entity_3:replaced -> PositionComponent, fields[ x - -9.349981 y - 37.17181 ] at 5317.9137
Entity_21:replaced -> PositionComponent, fields[ x - 42.0401 y - -31.59732 ] at 5317.9137
Entity_5:replaced -> PositionComponent, fields[ x - 21.07515 y - 14.18685 ] at 5317.9137
Entity_20:replaced -> PositionComponent, fields[ x - 2.066292 y - 25.48944 ] at 5317.9137
Entity_22:replaced -> PositionComponent, fields[ x - 51.49991 y - -7.800556 ] at 5317.9137
Entity_8:replaced -> PositionComponent, fields[ x - -53.89096 y - 35.10654 ] at 5317.9137
Entity_17:replaced -> PositionComponent, fields[ x - -16.98577 y - -39.60216 ] at 5317.9137
Entity_18:replaced -> PositionComponent, fields[ x - 36 y - -1 ] at 5317.9137
Entity_19:replaced -> PositionComponent, fields[ x - 28 y - -17 ] at 5317.9137
Entity_13:replaced -> PositionComponent, fields[ x - 9.177772 y - -34.31194 ] at 5333.5369
Entity_3:replaced -> PositionComponent, fields[ x - -9.572257 y - 37.17181 ] at 5333.5369
Entity_21:replaced -> PositionComponent, fields[ x - 41.69472 y - -31.59732 ] at 5333.5369
Entity_5:replaced -> PositionComponent, fields[ x - 20.94959 y - 14.18685 ] at 5333.5369
Entity_20:replaced -> PositionComponent, fields[ x - 1.359783 y - 25.48944 ] at 5333.5369
Entity_22:replaced -> PositionComponent, fields[ x - 51.30672 y - -7.800556 ] at 5333.5369
Entity_8:replaced -> PositionComponent, fields[ x - -54.26194 y - 35.10654 ] at 5333.5369
Entity_17:replaced -> PositionComponent, fields[ x - -17.48246 y - -39.60216 ] at 5333.5369
Entity_18:replaced -> PositionComponent, fields[ x - 36.5 y - -1 ] at 5333.5369
Entity_19:replaced -> PositionComponent, fields[ x - 28.5 y - -17 ] at 5333.5369
Entity_13:replaced -> PositionComponent, fields[ x - 8.956806 y - -34.31194 ] at 5349.1631
Entity_3:replaced -> PositionComponent, fields[ x - -9.794533 y - 37.17181 ] at 5349.1631
Entity_21:replaced -> PositionComponent, fields[ x - 41.34933 y - -31.59732 ] at 5349.1631
Entity_5:replaced -> PositionComponent, fields[ x - 20.82402 y - 14.18685 ] at 5349.1631
Entity_20:replaced -> PositionComponent, fields[ x - 0.6532748 y - 25.48944 ] at 5349.1631
Entity_22:replaced -> PositionComponent, fields[ x - 51.11354 y - -7.800556 ] at 5349.1631
Entity_8:replaced -> PositionComponent, fields[ x - -54.63292 y - 35.10654 ] at 5349.1631
Entity_17:replaced -> PositionComponent, fields[ x - -17.97914 y - -39.60216 ] at 5349.1631
Entity_18:replaced -> PositionComponent, fields[ x - 37 y - -1 ] at 5349.1631
Entity_19:replaced -> PositionComponent, fields[ x - 29 y - -17 ] at 5349.1631
Entity_13:replaced -> PositionComponent, fields[ x - 8.735841 y - -34.31194 ] at 5364.785
Entity_3:replaced -> PositionComponent, fields[ x - -10.01681 y - 37.17181 ] at 5364.785
Entity_21:replaced -> PositionComponent, fields[ x - 41.00395 y - -31.59732 ] at 5364.785
Entity_5:replaced -> PositionComponent, fields[ x - 20.69846 y - 14.18685 ] at 5364.785
Entity_20:replaced -> PositionComponent, fields[ x - -0.05323374 y - 25.48944 ] at 5364.785
Entity_22:replaced -> PositionComponent, fields[ x - 50.92036 y - -7.800556 ] at 5364.785
Entity_8:replaced -> PositionComponent, fields[ x - -55.0039 y - 35.10654 ] at 5364.785
Entity_17:replaced -> PositionComponent, fields[ x - -18.47582 y - -39.60216 ] at 5364.785
Entity_18:replaced -> PositionComponent, fields[ x - 37.5 y - -1 ] at 5364.785
Entity_19:replaced -> PositionComponent, fields[ x - 29.5 y - -17 ] at 5364.785
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5380.4108
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -1 ] at 5380.4108
Entity_13:replaced -> PositionComponent, fields[ x - 8.514875 y - -34.31194 ] at 5380.4108
Entity_3:replaced -> PositionComponent, fields[ x - -10.23908 y - 37.17181 ] at 5380.4108
Entity_21:replaced -> PositionComponent, fields[ x - 40.65857 y - -31.59732 ] at 5380.4108
Entity_5:replaced -> PositionComponent, fields[ x - 20.5729 y - 14.18685 ] at 5380.4108
Entity_20:replaced -> PositionComponent, fields[ x - -0.7597423 y - 25.48944 ] at 5380.4108
Entity_22:replaced -> PositionComponent, fields[ x - 50.72717 y - -7.800556 ] at 5380.4108
Entity_8:replaced -> PositionComponent, fields[ x - -55.37488 y - 35.10654 ] at 5380.4108
Entity_17:replaced -> PositionComponent, fields[ x - -18.97251 y - -39.60216 ] at 5380.4108
Entity_18:replaced -> PositionComponent, fields[ x - 38 y - -1 ] at 5380.4108
Entity_19:replaced -> PositionComponent, fields[ x - 30 y - -17 ] at 5380.4108
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5411.6734
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -2 ] at 5411.6734
Entity_13:replaced -> PositionComponent, fields[ x - 8.29391 y - -34.31194 ] at 5411.6734
Entity_3:replaced -> PositionComponent, fields[ x - -10.46136 y - 37.17181 ] at 5411.6734
Entity_21:replaced -> PositionComponent, fields[ x - 40.31319 y - -31.59732 ] at 5411.6734
Entity_5:replaced -> PositionComponent, fields[ x - 20.44734 y - 14.18685 ] at 5411.6734
Entity_20:replaced -> PositionComponent, fields[ x - -1.466251 y - 25.48944 ] at 5411.6734
Entity_22:replaced -> PositionComponent, fields[ x - 50.53399 y - -7.800556 ] at 5411.6734
Entity_8:replaced -> PositionComponent, fields[ x - -55.74586 y - 35.10654 ] at 5411.6734
Entity_17:replaced -> PositionComponent, fields[ x - -19.46919 y - -39.60216 ] at 5411.6734
Entity_18:replaced -> PositionComponent, fields[ x - 38.5 y - -1 ] at 5411.6734
Entity_19:replaced -> PositionComponent, fields[ x - 30.5 y - -17 ] at 5411.6734
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5427.2919
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -3 ] at 5427.2919
Entity_13:replaced -> PositionComponent, fields[ x - 8.072945 y - -34.31194 ] at 5427.2919
Entity_3:replaced -> PositionComponent, fields[ x - -10.68364 y - 37.17181 ] at 5427.2919
Entity_21:replaced -> PositionComponent, fields[ x - 39.9678 y - -31.59732 ] at 5427.2919
Entity_5:replaced -> PositionComponent, fields[ x - 20.32177 y - 14.18685 ] at 5427.2919
Entity_20:replaced -> PositionComponent, fields[ x - -2.172759 y - 25.48944 ] at 5427.2919
Entity_22:replaced -> PositionComponent, fields[ x - 50.34081 y - -7.800556 ] at 5427.2919
Entity_8:replaced -> PositionComponent, fields[ x - -56.11684 y - 35.10654 ] at 5427.2919
Entity_17:replaced -> PositionComponent, fields[ x - -19.96587 y - -39.60216 ] at 5427.2919
Entity_18:replaced -> PositionComponent, fields[ x - 39 y - -1 ] at 5427.2919
Entity_19:replaced -> PositionComponent, fields[ x - 31 y - -17 ] at 5427.2919
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5442.9155
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -4 ] at 5442.9155
Entity_13:replaced -> PositionComponent, fields[ x - 7.851979 y - -34.31194 ] at 5442.9155
Entity_3:replaced -> PositionComponent, fields[ x - -10.90591 y - 37.17181 ] at 5442.9155
Entity_21:replaced -> PositionComponent, fields[ x - 39.62242 y - -31.59732 ] at 5442.9155
Entity_5:replaced -> PositionComponent, fields[ x - 20.19621 y - 14.18685 ] at 5442.9155
Entity_20:replaced -> PositionComponent, fields[ x - -2.879268 y - 25.48944 ] at 5442.9155
Entity_22:replaced -> PositionComponent, fields[ x - 50.14762 y - -7.800556 ] at 5442.9155
Entity_8:replaced -> PositionComponent, fields[ x - -56.48782 y - 35.10654 ] at 5442.9155
Entity_17:replaced -> PositionComponent, fields[ x - -20.46256 y - -39.60216 ] at 5442.9155
Entity_18:replaced -> PositionComponent, fields[ x - 39.5 y - -1 ] at 5442.9155
Entity_19:replaced -> PositionComponent, fields[ x - 31.5 y - -17 ] at 5442.9155
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5458.5456
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -5 ] at 5458.5456
Entity_13:replaced -> PositionComponent, fields[ x - 7.631013 y - -34.31194 ] at 5458.5456
Entity_3:replaced -> PositionComponent, fields[ x - -11.12819 y - 37.17181 ] at 5458.5456
Entity_21:replaced -> PositionComponent, fields[ x - 39.27704 y - -31.59732 ] at 5458.5456
Entity_5:replaced -> PositionComponent, fields[ x - 20.07065 y - 14.18685 ] at 5458.5456
Entity_20:replaced -> PositionComponent, fields[ x - -3.585776 y - 25.48944 ] at 5458.5456
Entity_22:replaced -> PositionComponent, fields[ x - 49.95444 y - -7.800556 ] at 5458.5456
Entity_8:replaced -> PositionComponent, fields[ x - -56.8588 y - 35.10654 ] at 5458.5456
Entity_17:replaced -> PositionComponent, fields[ x - -20.95924 y - -39.60216 ] at 5458.5456
Entity_18:replaced -> PositionComponent, fields[ x - 40 y - -1 ] at 5458.5456
Entity_19:replaced -> PositionComponent, fields[ x - 32 y - -17 ] at 5458.5456
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5474.1692
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -6 ] at 5474.1692
Entity_13:replaced -> PositionComponent, fields[ x - 7.410047 y - -34.31194 ] at 5474.1692
Entity_3:replaced -> PositionComponent, fields[ x - -11.35046 y - 37.17181 ] at 5474.1692
Entity_21:replaced -> PositionComponent, fields[ x - 38.93166 y - -31.59732 ] at 5474.1692
Entity_5:replaced -> PositionComponent, fields[ x - 19.94509 y - 14.18685 ] at 5474.1692
Entity_20:replaced -> PositionComponent, fields[ x - -4.292285 y - 25.48944 ] at 5474.1692
Entity_22:replaced -> PositionComponent, fields[ x - 49.76125 y - -7.800556 ] at 5474.1692
Entity_8:replaced -> PositionComponent, fields[ x - -57.22977 y - 35.10654 ] at 5474.1692
Entity_17:replaced -> PositionComponent, fields[ x - -21.45592 y - -39.60216 ] at 5474.1692
Entity_18:replaced -> PositionComponent, fields[ x - 40.5 y - -1 ] at 5474.1692
Entity_19:replaced -> PositionComponent, fields[ x - 32.5 y - -17 ] at 5474.1692
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5489.7945
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -7 ] at 5489.7945
Entity_13:replaced -> PositionComponent, fields[ x - 7.189081 y - -34.31194 ] at 5489.7945
Entity_3:replaced -> PositionComponent, fields[ x - -11.57274 y - 37.17181 ] at 5489.7945
Entity_21:replaced -> PositionComponent, fields[ x - 38.58627 y - -31.59732 ] at 5489.7945
Entity_5:replaced -> PositionComponent, fields[ x - 19.81952 y - 14.18685 ] at 5489.7945
Entity_20:replaced -> PositionComponent, fields[ x - -4.998794 y - 25.48944 ] at 5489.7945
Entity_22:replaced -> PositionComponent, fields[ x - 49.56807 y - -7.800556 ] at 5489.7945
Entity_8:replaced -> PositionComponent, fields[ x - -57.60075 y - 35.10654 ] at 5489.7945
Entity_17:replaced -> PositionComponent, fields[ x - -21.95261 y - -39.60216 ] at 5489.7945
Entity_18:replaced -> PositionComponent, fields[ x - 41 y - -1 ] at 5489.7945
Entity_19:replaced -> PositionComponent, fields[ x - 33 y - -17 ] at 5489.7945
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5505.4207
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -8 ] at 5505.4207
Entity_13:replaced -> PositionComponent, fields[ x - 6.968115 y - -34.31194 ] at 5505.4207
Entity_3:replaced -> PositionComponent, fields[ x - -11.79501 y - 37.17181 ] at 5505.4207
Entity_21:replaced -> PositionComponent, fields[ x - 38.24089 y - -31.59732 ] at 5505.4207
Entity_5:replaced -> PositionComponent, fields[ x - 19.69396 y - 14.18685 ] at 5505.4207
Entity_20:replaced -> PositionComponent, fields[ x - -5.705302 y - 25.48944 ] at 5505.4207
Entity_22:replaced -> PositionComponent, fields[ x - 49.37489 y - -7.800556 ] at 5505.4207
Entity_8:replaced -> PositionComponent, fields[ x - -57.97173 y - 35.10654 ] at 5505.4207
Entity_17:replaced -> PositionComponent, fields[ x - -22.44929 y - -39.60216 ] at 5505.4207
Entity_18:replaced -> PositionComponent, fields[ x - 41.5 y - -1 ] at 5505.4207
Entity_19:replaced -> PositionComponent, fields[ x - 33.5 y - -17 ] at 5505.4207
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - -1 ] at 5521.0486
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -9 ] at 5521.0486
Entity_13:replaced -> PositionComponent, fields[ x - 6.747149 y - -34.31194 ] at 5521.0486
Entity_3:replaced -> PositionComponent, fields[ x - -12.01729 y - 37.17181 ] at 5521.0486
Entity_21:replaced -> PositionComponent, fields[ x - 37.89551 y - -31.59732 ] at 5521.0486
Entity_5:replaced -> PositionComponent, fields[ x - 19.5684 y - 14.18685 ] at 5521.0486
Entity_20:replaced -> PositionComponent, fields[ x - -6.411811 y - 25.48944 ] at 5521.0486
Entity_22:replaced -> PositionComponent, fields[ x - 49.1817 y - -7.800556 ] at 5521.0486
Entity_8:replaced -> PositionComponent, fields[ x - -58.34271 y - 35.10654 ] at 5521.0486
Entity_17:replaced -> PositionComponent, fields[ x - -22.94597 y - -39.60216 ] at 5521.0486
Entity_18:replaced -> PositionComponent, fields[ x - 42 y - -1 ] at 5521.0486
Entity_19:replaced -> PositionComponent, fields[ x - 34 y - -17 ] at 5521.0486
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 0 ] at 5552.3006
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - -9 ] at 5552.3006
Entity_13:replaced -> PositionComponent, fields[ x - 6.526184 y - -34.31194 ] at 5552.3006
Entity_3:replaced -> PositionComponent, fields[ x - -12.23957 y - 37.17181 ] at 5552.3006
Entity_21:replaced -> PositionComponent, fields[ x - 37.55013 y - -31.59732 ] at 5552.3006
Entity_5:replaced -> PositionComponent, fields[ x - 19.44283 y - 14.18685 ] at 5552.3006
Entity_20:replaced -> PositionComponent, fields[ x - -7.11832 y - 25.48944 ] at 5552.3006
Entity_22:replaced -> PositionComponent, fields[ x - 48.98852 y - -7.800556 ] at 5552.3006
Entity_8:replaced -> PositionComponent, fields[ x - -58.71369 y - 35.10654 ] at 5552.3006
Entity_17:replaced -> PositionComponent, fields[ x - -23.44266 y - -39.60216 ] at 5552.3006
Entity_18:replaced -> PositionComponent, fields[ x - 42.5 y - -1 ] at 5552.3006
Entity_19:replaced -> PositionComponent, fields[ x - 34.5 y - -17 ] at 5552.3006
Entity_1:replaced -> ScoreComponent, fields[ score - 50 ] at 5552.3006
Entity_18:added -> DestroyBulletComponent,  at 5552.3006
Entity_22:added -> DestroyAsteroidComponent,  at 5552.3006
Entity_13:replaced -> PositionComponent, fields[ x - 6.305218 y - -34.31194 ] at 5552.3006
Entity_3:replaced -> PositionComponent, fields[ x - -12.46184 y - 37.17181 ] at 5552.3006
Entity_21:replaced -> PositionComponent, fields[ x - 37.20474 y - -31.59732 ] at 5552.3006
Entity_5:replaced -> PositionComponent, fields[ x - 19.31727 y - 14.18685 ] at 5552.3006
Entity_20:replaced -> PositionComponent, fields[ x - -7.824828 y - 25.48944 ] at 5552.3006
Entity_22:replaced -> PositionComponent, fields[ x - 48.79533 y - -7.800556 ] at 5552.3006
Entity_8:replaced -> PositionComponent, fields[ x - -59.08467 y - 35.10654 ] at 5552.3006
Entity_17:replaced -> PositionComponent, fields[ x - -23.93934 y - -39.60216 ] at 5552.3006
Entity_18:replaced -> PositionComponent, fields[ x - 43 y - -1 ] at 5552.3006
Entity_19:replaced -> PositionComponent, fields[ x - 35 y - -17 ] at 5552.3006
Entity_22:  -> destroyed,  at 5552.3006
Entity_18:  -> destroyed,  at 5552.3006
Entity_23:  -> created,  at 5583.5491
Entity_23:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_23(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 5583.5491
Entity_23:added -> AsteroidComponent,  at 5583.5491
Entity_23:added -> PositionComponent, fields[ x - 60 y - 24.49087 ] at 5583.5491
Entity_23:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 5583.5491
Entity_23:added -> AsteroidSpeedComponent, fields[ speed - 0.1753287 ] at 5583.5491
Entity_13:replaced -> PositionComponent, fields[ x - 6.084252 y - -34.31194 ] at 5583.5491
Entity_3:replaced -> PositionComponent, fields[ x - -12.68412 y - 37.17181 ] at 5583.5491
Entity_21:replaced -> PositionComponent, fields[ x - 36.85936 y - -31.59732 ] at 5583.5491
Entity_5:replaced -> PositionComponent, fields[ x - 19.19171 y - 14.18685 ] at 5583.5491
Entity_20:replaced -> PositionComponent, fields[ x - -8.531337 y - 25.48944 ] at 5583.5491
Entity_23:replaced -> PositionComponent, fields[ x - 59.82467 y - 24.49087 ] at 5583.5491
Entity_8:replaced -> PositionComponent, fields[ x - -59.45565 y - 35.10654 ] at 5583.5491
Entity_17:replaced -> PositionComponent, fields[ x - -24.43602 y - -39.60216 ] at 5583.5491
Entity_19:replaced -> PositionComponent, fields[ x - 35.5 y - -17 ] at 5583.5491
Entity_13:replaced -> PositionComponent, fields[ x - 5.863286 y - -34.31194 ] at 5599.177
Entity_3:replaced -> PositionComponent, fields[ x - -12.90639 y - 37.17181 ] at 5599.177
Entity_21:replaced -> PositionComponent, fields[ x - 36.51398 y - -31.59732 ] at 5599.177
Entity_5:replaced -> PositionComponent, fields[ x - 19.06615 y - 14.18685 ] at 5599.177
Entity_20:replaced -> PositionComponent, fields[ x - -9.237845 y - 25.48944 ] at 5599.177
Entity_23:replaced -> PositionComponent, fields[ x - 59.64935 y - 24.49087 ] at 5599.177
Entity_8:replaced -> PositionComponent, fields[ x - -59.82663 y - 35.10654 ] at 5599.177
Entity_17:replaced -> PositionComponent, fields[ x - -24.9327 y - -39.60216 ] at 5599.177
Entity_19:replaced -> PositionComponent, fields[ x - 36 y - -17 ] at 5599.177
Entity_13:replaced -> PositionComponent, fields[ x - 5.64232 y - -34.31194 ] at 5614.8006
Entity_3:replaced -> PositionComponent, fields[ x - -13.12867 y - 37.17181 ] at 5614.8006
Entity_21:replaced -> PositionComponent, fields[ x - 36.16859 y - -31.59732 ] at 5614.8006
Entity_5:replaced -> PositionComponent, fields[ x - 18.94058 y - 14.18685 ] at 5614.8006
Entity_20:replaced -> PositionComponent, fields[ x - -9.944354 y - 25.48944 ] at 5614.8006
Entity_23:replaced -> PositionComponent, fields[ x - 59.47402 y - 24.49087 ] at 5614.8006
Entity_8:replaced -> PositionComponent, fields[ x - -60.19761 y - 35.10654 ] at 5614.8006
Entity_17:replaced -> PositionComponent, fields[ x - -25.42939 y - -39.60216 ] at 5614.8006
Entity_19:replaced -> PositionComponent, fields[ x - 36.5 y - -17 ] at 5614.8006
Entity_13:replaced -> PositionComponent, fields[ x - 5.421354 y - -34.31194 ] at 5614.8006
Entity_3:replaced -> PositionComponent, fields[ x - -13.35094 y - 37.17181 ] at 5614.8006
Entity_21:replaced -> PositionComponent, fields[ x - 35.82321 y - -31.59732 ] at 5614.8006
Entity_5:replaced -> PositionComponent, fields[ x - 18.81502 y - 14.18685 ] at 5614.8006
Entity_20:replaced -> PositionComponent, fields[ x - -10.65086 y - 25.48944 ] at 5614.8006
Entity_23:replaced -> PositionComponent, fields[ x - 59.29869 y - 24.49087 ] at 5614.8006
Entity_8:added -> DestroyAsteroidComponent,  at 5614.8006
Entity_17:replaced -> PositionComponent, fields[ x - -25.92607 y - -39.60216 ] at 5614.8006
Entity_19:replaced -> PositionComponent, fields[ x - 37 y - -17 ] at 5614.8006
Entity_8:  -> destroyed,  at 5614.8006
Entity_24:  -> created,  at 5646.0543
Entity_24:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_24(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 5646.0543
Entity_24:added -> AsteroidComponent,  at 5646.0543
Entity_24:added -> PositionComponent, fields[ x - 60 y - -3.523315 ] at 5646.0543
Entity_24:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 5646.0543
Entity_24:added -> AsteroidSpeedComponent, fields[ speed - 0.168865 ] at 5646.0543
Entity_13:replaced -> PositionComponent, fields[ x - 5.200388 y - -34.31194 ] at 5646.0543
Entity_3:replaced -> PositionComponent, fields[ x - -13.57322 y - 37.17181 ] at 5646.0543
Entity_21:replaced -> PositionComponent, fields[ x - 35.47783 y - -31.59732 ] at 5646.0543
Entity_5:replaced -> PositionComponent, fields[ x - 18.68946 y - 14.18685 ] at 5646.0543
Entity_20:replaced -> PositionComponent, fields[ x - -11.35737 y - 25.48944 ] at 5646.0543
Entity_23:replaced -> PositionComponent, fields[ x - 59.12336 y - 24.49087 ] at 5646.0543
Entity_24:replaced -> PositionComponent, fields[ x - 59.83113 y - -3.523315 ] at 5646.0543
Entity_17:replaced -> PositionComponent, fields[ x - -26.42275 y - -39.60216 ] at 5646.0543
Entity_19:replaced -> PositionComponent, fields[ x - 37.5 y - -17 ] at 5646.0543
Entity_13:replaced -> PositionComponent, fields[ x - 4.979423 y - -34.31194 ] at 5661.6805
Entity_3:replaced -> PositionComponent, fields[ x - -13.7955 y - 37.17181 ] at 5661.6805
Entity_21:replaced -> PositionComponent, fields[ x - 35.13245 y - -31.59732 ] at 5661.6805
Entity_5:replaced -> PositionComponent, fields[ x - 18.5639 y - 14.18685 ] at 5661.6805
Entity_20:replaced -> PositionComponent, fields[ x - -12.06388 y - 25.48944 ] at 5661.6805
Entity_23:replaced -> PositionComponent, fields[ x - 58.94804 y - 24.49087 ] at 5661.6805
Entity_24:replaced -> PositionComponent, fields[ x - 59.66227 y - -3.523315 ] at 5661.6805
Entity_17:replaced -> PositionComponent, fields[ x - -26.91944 y - -39.60216 ] at 5661.6805
Entity_19:replaced -> PositionComponent, fields[ x - 38 y - -17 ] at 5661.6805
Entity_13:replaced -> PositionComponent, fields[ x - 4.758457 y - -34.31194 ] at 5677.3045
Entity_3:replaced -> PositionComponent, fields[ x - -14.01777 y - 37.17181 ] at 5677.3045
Entity_21:replaced -> PositionComponent, fields[ x - 34.78706 y - -31.59732 ] at 5677.3045
Entity_5:replaced -> PositionComponent, fields[ x - 18.43833 y - 14.18685 ] at 5677.3045
Entity_20:replaced -> PositionComponent, fields[ x - -12.77039 y - 25.48944 ] at 5677.3045
Entity_23:replaced -> PositionComponent, fields[ x - 58.77271 y - 24.49087 ] at 5677.3045
Entity_24:replaced -> PositionComponent, fields[ x - 59.4934 y - -3.523315 ] at 5677.3045
Entity_17:replaced -> PositionComponent, fields[ x - -27.41612 y - -39.60216 ] at 5677.3045
Entity_19:replaced -> PositionComponent, fields[ x - 38.5 y - -17 ] at 5677.3045
Entity_13:replaced -> PositionComponent, fields[ x - 4.537491 y - -34.31194 ] at 5692.9269
Entity_3:replaced -> PositionComponent, fields[ x - -14.24005 y - 37.17181 ] at 5692.9269
Entity_21:replaced -> PositionComponent, fields[ x - 34.44168 y - -31.59732 ] at 5692.9269
Entity_5:replaced -> PositionComponent, fields[ x - 18.31277 y - 14.18685 ] at 5692.9269
Entity_20:replaced -> PositionComponent, fields[ x - -13.4769 y - 25.48944 ] at 5692.9269
Entity_23:replaced -> PositionComponent, fields[ x - 58.59738 y - 24.49087 ] at 5692.9269
